PCE,VOC,JSC,FF
5.19,687.0,10.79,0.7
5.0,651.0,10.3,0.75
5.1,693.0,10.0,0.75
4.8,740.0,8.0,0.77
6.0,678.0,13.2,0.67
6.2,695.0,12.2,0.74
5.5,800.0,9.0,0.76
1.39,560.0,3.41,0.73
3.62,660.0,7.72,0.71
1.77,600.0,4.03,0.73
2.8,690.0,5.79,0.7
1.41,580.0,3.33,0.73
2.6,660.0,5.63,0.7
1.1,380.0,4.5,0.63
2.6,490.0,7.5,0.7
3.7,480.0,12.8,0.6
3.5,470.0,15.1,0.5
5.2,550.0,15.2,0.62
4.7,530.0,13.2,0.67
3.1,500.0,9.4,0.65
4.1,500.0,12.9,0.64
3.4,510.0,11.1,0.6
0.9,410.0,4.1,0.56
5.8,660.0,12.1,0.73
7.4,710.0,13.5,0.77
6.4,700.0,14.3,0.64
3.1,450.0,13.7,0.5
3.8,510.0,14.6,0.51
7.2,660.0,15.6,0.7
7.5,690.0,15.3,0.71
7.5,730.0,14.7,0.7
7.09,616.0,15.22,0.757
8.54,677.0,16.76,0.753
8.95,740.0,16.56,0.73
8.88,715.0,16.92,0.734
8.47,702.0,15.38,0.7848
9.09,663.0,18.01,0.7616
4.78,690.0,9.79,0.71
3.62,660.0,7.72,0.71
1.04,554.0,2.98,0.63
2.33,704.0,4.57,0.724
1.64,693.0,3.37,0.705
2.69,687.0,5.63,0.695
3.22,711.0,6.21,0.729
5.97,581.0,14.66,0.686
4.66,756.0,8.98,0.69
4.82,580.0,12.2,0.68
5.97,580.0,14.3,0.72
3.93,550.0,10.8,0.66
5.03,560.0,13.3,0.68
6.07,600.0,14.2,0.7
3.73,620.0,10.5,0.57
4.37,570.0,13.3,0.56
7.19,640.0,16.1,0.7
6.5,530.0,18.8,0.65
7.6,610.0,16.5,0.76
5.8,520.0,16.71,0.67
6.3,580.0,14.89,0.73
6.5,630.0,13.37,0.77
5.3,510.0,14.32,0.73
4.3,530.0,10.93,0.75
6.3,520.0,17.46,0.69
7.3,580.0,16.9,0.74
7.6,610.0,16.5,0.76
6.2,610.0,14.6,0.7
6.5,620.0,14.1,0.74
5.9,640.0,12.5,0.73
5.5,660.0,11.2,0.74
5.3,680.0,10.3,0.75
6.0,570.0,16.0,0.66
6.4,580.0,15.7,0.7
6.7,620.0,15.5,0.7
6.0,630.0,13.6,0.7
6.1,650.0,13.4,0.7
5.5,610.0,13.3,0.68
6.4,620.0,15.0,0.69
7.4,630.0,16.8,0.7
6.12,707.5,11.91,0.7264
5.7,540.0,16.9,0.63
7.8,640.0,16.9,0.72
