PCE,VOC,JSC,FF
2.6,790.0,6.9,0.47
3.1,835.0,7.7,0.49
2.2,800.0,6.4,0.43
0.6,340.0,2.7,0.63
3.81,796.0,6.98,0.87
3.6,470.0,17.1,0.45
3.3,490.0,14.5,0.46
3.9,540.0,14.7,0.49
2.8,420.0,15.3,0.44
3.3,460.0,16.2,0.44
3.9,490.0,16.9,0.47
4.0,490.0,16.6,0.49
0.33,500.0,0.96,0.69
0.358,502.0,1.081,0.66
0.299,490.0,0.936,0.651
0.0194,110.0,0.56,0.31
0.72,550.0,2.73,0.48
1.0,980.0,2.26,0.47
1.1,1130.0,1.88,0.54
1.2,1210.0,1.8,0.55
0.01,105.0,0.26,0.37
0.4,425.0,1.57,0.635
0.4,613.0,1.07,0.53
0.33,510.0,1.12,0.57
0.33,500.0,1.2,0.54
0.45,527.0,2.21,0.384
0.78,452.0,3.53,0.49
1.46,492.0,6.05,0.49
0.12,473.0,0.379,0.65
0.7,653.0,2.5,0.43
3.4,1156.0,6.9,0.64
3.4,1041.0,6.17,0.7
2.03,740.0,5.72,0.48
2.2,730.0,6.4,0.47
0.9,460.0,4.52,0.44
0.39,320.0,1.85,0.67
0.25,320.0,1.41,0.54
3.54,740.0,10.41,0.46
2.17,709.0,5.56,0.4676
2.42,650.0,7.72,0.45
0.19,461.0,0.69,0.59
0.24,432.0,1.0,0.621
0.0538,130.0,1.35,0.31
0.0387,110.0,1.16,0.31
6.71,742.0,18.75,0.41
8.01,745.0,19.33,0.473
0.22,450.0,0.75,0.629
0.06,400.0,0.24,0.614
0.04,350.0,0.2,0.485
0.22,567.0,0.54,0.61
6.4,13.4,7.0,0.68
0.36,207.0,3.3,0.269
0.69,1.42,6.4,0.76
0.2,320.0,1.19,0.53
0.12,352.0,0.66,0.53
3.3,9.89,5.7,0.59
3.4,600.0,13.7,0.42
2.99,1000.0,4.37,0.68
2.68,1060.0,3.74,0.67
12.5,1036.0,15.6,0.774
12.0,1034.0,14.9,0.777
2.56,6.43,6.6,0.61
3.39,12.8,4.5,0.59
1.52,353.0,7.53,0.57
0.66,314.0,3.47,0.61
0.0058,120.0,0.12,0.42
0.19,335.0,1.08,0.53
0.28,530.0,0.81,0.65
0.47,238.0,3.67,0.28
0.19,469.0,0.58,0.692
0.3,381.8,1.13,0.693
0.36,434.3,1.17,0.693
0.46,370.7,1.9,0.656
0.11,319.0,0.68,0.51
4.7,590.0,15.3,0.44
0.07,304.0,0.47,0.49
0.06,299.0,0.4,0.48
0.31,416.0,1.51,0.5
0.21,400.0,1.0,0.51
0.2,392.0,1.02,0.49
0.2,416.0,1.0,0.48
0.34,443.0,1.38,0.56
0.43,492.0,1.61,0.55
0.4,480.0,1.55,0.53
0.14,445.0,0.56,0.58
0.08,387.0,0.4,0.51
0.03,370.0,0.14,0.5
0.03,380.0,0.15,0.51
0.04,390.0,0.18,0.53
0.71,338.0,2.61,0.4
2.0,329.0,9.48,0.64
0.22,567.0,0.536,0.6082
0.18,347.0,0.99,0.52
0.21,308.0,1.18,0.58
0.2,240.0,1.41,0.61
0.34,566.0,1.06,0.57
0.15,186.0,1.4,0.28
0.32,197.0,2.9,0.273
0.41,235.0,2.9,0.29
0.29,390.0,1.1,0.67
0.23,495.4,0.64,0.727
0.27,386.5,1.02,0.677
0.28,484.8,0.91,0.632
0.36,372.0,1.45,0.662
0.26,630.0,0.76,0.54
0.39,520.0,1.31,0.56
0.75,700.0,2.34,0.45
0.6,517.0,2.6,0.462
2.37,575.0,8.76,0.46
0.29,490.0,1.1,0.53
0.152,492.0,0.715,0.433
0.416,513.0,1.674,0.485
4.52,696.0,13.8,0.47
0.48,580.0,1.47,0.57
0.08,440.0,0.39,0.47
8.12,993.0,11.52,0.71
8.07,991.0,11.48,0.71
0.36,524.0,1.37,0.47
0.41,558.0,1.42,0.51
0.44,519.0,1.81,0.46
0.94,324.0,5.7,0.5
0.93,320.0,0.44,0.13
1.98,510.0,8.43,0.46
1.31,290.0,9.21,0.49
1.37,300.0,8.11,0.56
1.69,340.0,7.76,0.64
3.9,520.0,19.3,0.38
0.43,459.0,1.39,0.67
0.21,443.0,0.85,0.56
0.46,419.0,1.71,0.64
1.45,346.0,7.65,0.55
0.44,480.0,1.3,0.7
3.61,730.0,9.3,0.49
2.89,710.0,8.56,0.47
1.1,478.0,5.14,0.43
0.44,640.0,1.04,0.65
0.46,450.0,1.34,0.76
0.6,552.0,3.41,0.31
