Formula,A_ion,B_ion,X_ion,Bandgap,ETL,HTL,Backcontact,Antisolvent,Solvent,Solv_annel,Anneal_temp,Dep_procedure,Synth_atm,Cell_area,Is_module,Voc,Jsc,FF,PCE,entry_id
MAPbI3,MA,Pb,I,1.6,PCBM-60 | LiF,PEDOT:PSS | PDPP-DTT,Ag,Unknown,none,False,Unknown,Co-evaporation,Vacuum,0.2,False,1.0,13.3,0.74,9.8,--7QgUnINWBA_TA8jw3CCbRCRrcH
MAPbI3,MA,Pb,I,,PCBM-60 | Bphen,PEDOT:PSS,Ag,Unknown,DMF; DMSO,True,100,Spin-coating,N2,,False,0.96,18.59,0.78,14.1,--8F7Y4s3uKDX5NP3bucanTkQo8Q
MAPbI3,MA,Pb,I,1.6,PCBM-60 | Bphen,PEDOT:PSS,Ag,Chlorobenzene,DMF,False,100.0,Spin-coating,N2,0.045,False,0.912,18.76,0.691,11.82,--MlWiNv1SKTzJtpJWHqwwxmmsDW
MAPbI3,MA,Pb,I,1.6,TiO2-c,MeO-PheDOT,Au,Unknown,DMF,False,95.0,Spin-coating,Unknown,0.1256,False,0.885,18.19,0.588,9.46,--MwIi0wc7g_1YhFm95OcLR-Gp1p
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Au,Gas,DMF,False,Unknown,Spin-coating,Unknown,0.4,False,0.98,20.7,0.49,9.9,--Phx81KXd8q_-bTnwpZPUIWWiVa
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Ag,Chlorobenzene,DMSO; GBL,False,100,Spin-coating,Unknown,0.045,False,1.04,23.5,0.762,18.67,--RgE_khB0mtMTpdsdxLae7XuLI0
MAPbI3,MA,Pb,I,1.6,PCBM-60,PEDOT:PSS,Carbon-tape,Unknown,DMF >> IPA,False,Unknown >> 100.0,Spin-coating >> CBD,Unknown,0.1,False,,,,12.7,-09A82oyQC9E8fppw2ks3Ys6HfkE
MAPbI3,MA,Pb,I,1.5,TiO2-c | TiO2-mp,none,Au,Unknown,DMF >> IPA,False,Unknown >> 90.0,Spin-coating >> CBD,Unknown,0.1,False,0.8440000000000001,12.47,0.6729999999999999,7.09,-0IO-XG1_fgMXn1MzZpEZymrVenV
FAPbI3,FA,Pb,I,1.48,TiO2-c,Phenethylamine | Spiro-MeOTAD,Au,Chlorobenzene,DMF,False,100; 160,Spin-coating,N2,0.05,False,0.95,23.6,0.59,13.3,-0KDqwHqhhDfvD754VHcBJTx47Ls
MAPbI3 | (MIC3)2PbI4,MA | (MIC3),Pb | Pb,I | I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,Unknown,False,100 >> 100,Spin-coating >> Spin-coating,Ar >> Ar,0.16,False,1.056,21.72,0.7290000000000001,16.41,-0Kc5v9Gc9P3MU9G-X5jfgkro0vU
