VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Active area,Dye loading,Co-adsorbent,Co-sensitizer,Has_Coadsorbent,Has_Cosensitizer
687.0,10.79,0.7,5.19,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.10 M guanidinium thiocyanate, 0.03 M I2 , 0.5 M tert-butylpyridine in acetonitrile and valeronitrile (85:15)",TiO2 (20 nm particle size),,-,-,-,0,0
651.0,10.3,0.75,5.0,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)",TiO2 film (8 uM thick + 5 uM scattering layer),0.158,-,-,-,0,0
693.0,10.0,0.75,5.1,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)",TiO2 film (8 uM thick + 5 uM scattering layer),0.158,-,-,-,0,0
740.0,8.0,0.77,4.8,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)",TiO2 film (8 uM thick + 5 uM scattering layer),0.158,-,-,-,0,0
678.0,13.2,0.67,6.0,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)",TiO2 film (8 uM thick + 5 uM scattering layer),0.158,-,-,-,0,0
695.0,12.2,0.74,6.2,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)",TiO2 film (8 uM thick + 5 uM scattering layer),0.158,-,-,-,0,0
800.0,9.0,0.76,5.5,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)",TiO2 film (8 uM thick + 5 uM scattering layer),0.158,-,-,-,0,0
560.0,3.41,0.73,1.39,OPV-AN-I  (iodide-triiodide),TiO2 film,0.16,-,-,-,0,0
660.0,7.72,0.71,3.62,OPV-AN-I  (iodide-triiodide),TiO2 film,0.16,-,-,-,0,0
660.0,7.72,0.71,3.62,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2 , 0.07 M LiI, 0.1 M guanidinium thiocyanate and 0.4 M 4-tert-butylpyridine (TBP)",TiO2 film (18um thick ),0.16,-,-,-,0,0
